runner,time_in_seconds,rank,age,gender,nationality,elevation_gain,distance,city,country,date
SA Carlos,82207.0,8.0,48,M,POR,9618,167.7,Chamonix,France,2014-08-29
DAVID Benjamin,82264.0,19.0,37,M,FRA,9980,168.6,Chamonix,France,2017-09-01
Collomb Patton Bertrand,82314.0,9.0,46,M,FRA,9618,167.7,Chamonix,France,2014-08-29
SOLE Francesc,82403.0,7.0,39,M,ESP,10060,169.6,Chamonix,France,2015-08-28
MILLER Zach,82466.0,6.0,33,M,USA,10080,171.0,Chamonix,France,2016-08-26
BROWNING JEFF,82552.0,20.0,50,M,USA,9980,168.6,Chamonix,France,2017-09-01
BROGNIART Stephane,82625.0,10.0,45,M,FRA,9618,167.7,Chamonix,France,2014-08-29
CURMER Gregoire,82810.0,8.0,31,M,FRA,9930,170.7,Chamonix,France,2021-08-27
PAZOS Diego,82810.0,8.0,37,M,SUI,9930,170.7,Chamonix,France,2021-08-27
OBARA Masatoshi,82812.0,8.0,39,M,JPN,9930,170.7,Chamonix,France,2019-08-30
Ruzza Stefano,82939.0,7.0,39,M,ITA,9990,170.0,Chamonix,France,2018-08-31
